iter	Passed	Remaining
652	96147	51092
653	96315	50955
654	96551	50855
655	96699	50708
656	96852	50563
657	96979	50405
658	97123	50256
659	97257	50102
660	97396	49950
661	97545	49804
662	97694	49657
663	97832	49505
664	97967	49352
665	98109	49202
666	98261	49057
667	98392	48901
668	98532	48750
669	98673	48600
670	98822	48453
671	98955	48299
672	99103	48152
673	99243	48002
674	99385	47852
675	99523	47700
676	99659	47548
677	99810	47402
678	99940	47247
679	100080	47096
680	100213	46942
681	100342	46787
682	100473	46632
683	100625	46487
684	100776	46342
685	100936	46201
686	101077	46051
687	101238	45910
688	101388	45764
689	101520	45610
690	101655	45458
691	101824	45320
692	101962	45169
693	102115	45025
694	102286	44888
695	102438	44743
696	102575	44591
697	102720	44443
698	102883	44303
699	103026	44154
700	103183	44011
701	103350	43872
702	103490	43722
703	103674	43590
704	103835	43448
705	103978	43299
706	104124	43151
707	104287	43011
708	104467	42877
709	104609	42727
710	104765	42584
711	104920	42439
712	105076	42296
713	105218	42146
714	105368	42000
715	105521	41854
716	105651	41700
717	105789	41549
718	105925	41397
719	106054	41243
720	106180	41087
721	106355	40951
722	106503	40804
723	106657	40659
724	106795	40508
725	106938	40359
726	107073	40207
727	107213	40057
728	107351	39907
729	107497	39759
730	107634	39608
731	107768	39456
732	107928	39313
733	108094	39173
734	108231	39022
735	108428	38892
736	108574	38745
737	108711	38594
738	108852	38444
739	108992	38294
740	109135	38145
741	109279	37997
742	109424	37849
743	109567	37700
744	109734	37560
745	109895	37417
746	110036	37268
747	110166	37114
748	110324	36971
749	110460	36820
750	110618	36676
751	110752	36524
752	110906	36379
753	111061	36234
754	111207	36087
755	111387	35950
756	111578	35817
757	111760	35680
758	111945	35545
759	112098	35399
760	112241	35250
761	112374	35098
762	112513	34948
763	112671	34804
764	112799	34650
765	112961	34507
766	113099	34357
767	113285	34221
768	113429	34073
769	113566	33922
770	113713	33774
771	113856	33625
772	114013	33481
773	114172	33337
774	114315	33188
775	114474	33044
776	114611	32893
777	114785	32753
778	114922	32603
779	115056	32451
780	115221	32309
781	115376	32163
782	115524	32016
783	115663	31866
784	115813	31719
785	115975	31576
786	116109	31424
787	116296	31287
788	116445	31140
789	116583	30990
790	116729	30842
791	116876	30694
792	117010	30543
793	117154	30395
794	117294	30245
795	117449	30100
796	117592	29951
797	117722	29799
798	117864	29650
799	117991	29497
800	118133	29349
801	118310	29208
802	118458	29061
803	118594	28911
804	118741	28763
805	118877	28613
806	119016	28463
807	119142	28310
808	119303	28166
809	119556	28044
810	119755	27908
811	119899	27759
812	120039	27610
813	120180	27461
814	120343	27317
815	120488	27168
816	120638	27021
817	120785	26874
818	120924	26724
819	121056	26573
820	121208	26426
821	121355	26278
822	121493	26129
823	121617	25976
824	121771	25830
825	121902	25679
826	122026	25526
827	122172	25378
828	122333	25233
829	122472	25084
830	122613	24935
831	122757	24787
832	122894	24637
833	123037	24489
834	123174	24339
835	123361	24200
836	123510	24052
837	123655	23904
838	123795	23755
839	123925	23604
840	124053	23453
841	124187	23303
842	124332	23155
843	124472	23006
844	124607	22857
845	124740	22706
846	124901	22561
847	125039	22412
848	125187	22265
849	125374	22124
850	125551	21982
851	125714	21837
852	125851	21688
853	126012	21543
854	126151	21394
855	126296	21246
856	126442	21098
857	126583	20949
858	126709	20798
859	126851	20650
860	127017	20505
861	127155	20356
862	127301	20208
863	127437	20059
864	127565	19909
865	127701	19759
866	127835	19610
867	127960	19459
868	128105	19311
869	128236	19161
870	128372	19012
871	128523	18865
872	128655	18716
873	128790	18567
874	128927	18418
875	129071	18270
876	129221	18123
877	129358	17974
878	129495	17825
879	129648	17679
880	129789	17531
881	129943	17384
882	130119	17241
883	130277	17095
884	130411	16946
885	130536	16795
886	130672	16647
887	130810	16498
888	130950	16350
889	131095	16202
890	131252	16056
891	131393	15908
892	131537	15760
893	131666	15611
894	131803	15462
895	131934	15313
896	132065	15164
897	132222	15018
898	132359	14870
899	132494	14721
900	132635	14573
901	132769	14425
902	132912	14277
903	133043	14128
904	133180	13980
905	133342	13834
906	133476	13686
907	133607	13537
908	133744	13389
909	133888	13241
910	134029	13093
911	134209	12950
912	134392	12806
913	134573	12662
914	134732	12516
915	134872	12368
916	135009	12220
917	135134	12070
918	135281	11923
919	135431	11776
920	135618	11632
921	135773	11486
922	135900	11337
923	136031	11188
924	136172	11041
925	136347	10896
926	136476	10747
927	136599	10598
928	136727	10449
929	136870	10302
930	137015	10154
931	137153	10006
932	137296	9859
933	137448	9712
934	137572	9563
935	137736	9417
936	137870	9269
937	138009	9122
938	138143	8974
939	138329	8829
940	138478	8682
941	138613	8534
942	138757	8387
943	138898	8239
944	139028	8091
945	139152	7943
946	139307	7796
947	139443	7648
948	139576	7500
949	139711	7353
950	139848	7205
951	139978	7057
952	140117	6910
953	140298	6764
954	140511	6620
955	140653	6473
956	140788	6325
957	140920	6178
958	141058	6030
959	141190	5882
960	141342	5736
961	141492	5589
962	141681	5443
963	141832	5296
964	141972	5149
965	142106	5001
966	142260	4854
967	142388	4707
968	142527	4559
969	142684	4412
970	142827	4265
971	142969	4118
972	143117	3971
973	143283	3824
974	143410	3677
975	143560	3530
976	143697	3382
977	143844	3235
978	143980	3088
979	144136	2941
980	144286	2794
981	144420	2647
982	144556	2499
983	144721	2353
984	144881	2206
985	145038	2059
986	145188	1912
987	145367	1765
988	145517	1618
989	145657	1471
990	145821	1324
991	145966	1177
992	146151	1030
993	146374	883
994	146506	736
995	146638	588
996	146758	441
997	146887	294
998	147017	147
999	147148	0
